,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_final_estimator__gamma,param_final_estimator__learning_rate,param_final_estimator__max_depth,param_gb__max_depth,param_gb__max_features,param_rf__max_features,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,mean_train_score,std_train_score
88,1320.2463349103928,5.814463973045349,1.9545804262161255,0.26588165760040283,5,0.01,5,2,8,2,"{'final_estimator__gamma': 5, 'final_estimator__learning_rate': 0.01, 'final_estimator__max_depth': 5, 'gb__max_depth': 2, 'gb__max_features': 8, 'rf__max_features': 2}",0.8190986323653032,0.814594683664761,0.8168466580150321,0.0022519743502711353,127,0.9137795146611444,0.9002881533187168,0.9070338339899306,0.006745680671213783
24,1535.823164820671,6.054861426353455,1.3426076173782349,0.04372990131378174,1,0.01,8,2,2,2,"{'final_estimator__gamma': 1, 'final_estimator__learning_rate': 0.01, 'final_estimator__max_depth': 8, 'gb__max_depth': 2, 'gb__max_features': 2, 'rf__max_features': 2}",0.8169260175786496,0.816516808137497,0.8167214128580733,0.00020460472057626244,128,0.9266011641453102,0.8945285423436445,0.9105648532444774,0.01603631090083285
60,1142.668007850647,5.726095676422119,0.7998732328414917,0.11126410961151123,1,0.1,8,2,2,2,"{'final_estimator__gamma': 1, 'final_estimator__learning_rate': 0.1, 'final_estimator__max_depth': 8, 'gb__max_depth': 2, 'gb__max_features': 2, 'rf__max_features': 2}",0.8170573259917288,0.8163363419626297,0.8166968339771792,0.0003604920145495183,129,0.9218536728664171,0.8935016849751531,0.9076776789207851,0.01417599394563196
67,1076.3231793642044,8.628514885902405,1.3437373638153076,0.10936570167541504,1,0.1,8,5,2,5,"{'final_estimator__gamma': 1, 'final_estimator__learning_rate': 0.1, 'final_estimator__max_depth': 8, 'gb__max_depth': 5, 'gb__max_features': 2, 'rf__max_features': 5}",0.8182322271753832,0.8149781644572315,0.8166051958163074,0.0016270313590758811,130,0.9356561758408476,0.9096291675697844,0.922642671705316,0.013013504135531595
64,1438.7559982538223,43.13936460018158,1.4999957084655762,0.10937643051147461,1,0.1,8,2,8,2,"{'final_estimator__gamma': 1, 'final_estimator__learning_rate': 0.1, 'final_estimator__max_depth': 8, 'gb__max_depth': 2, 'gb__max_features': 8, 'rf__max_features': 2}",0.8187884646233687,0.8141014645521328,0.8164449645877507,0.0023435000356179514,131,0.8994322011728698,0.9090904806434327,0.9042613409081512,0.004829139735281429
52,1242.624549150467,4.597150087356567,2.374842047691345,0.98784339427948,1,0.1,5,2,8,2,"{'final_estimator__gamma': 1, 'final_estimator__learning_rate': 0.1, 'final_estimator__max_depth': 5, 'gb__max_depth': 2, 'gb__max_features': 8, 'rf__max_features': 2}",0.819676744542008,0.8130034715288426,0.8163401080354253,0.003336636506582724,132,0.9051824307374684,0.8956435274337259,0.9004129790855971,0.004769451651871259
25,1195.996071100235,30.256853342056274,1.3491863012313843,0.2599979639053345,1,0.01,8,2,2,5,"{'final_estimator__gamma': 1, 'final_estimator__learning_rate': 0.01, 'final_estimator__max_depth': 8, 'gb__max_depth': 2, 'gb__max_features': 2, 'rf__max_features': 5}",0.8153316469959546,0.8172396838482229,0.8162856654220887,0.0009540184261341289,133,0.9170964878085722,0.9080765194474806,0.9125865036280264,0.004509984180545823
12,934.9889787435532,0.7795010805130005,1.2120029926300049,0.010996103286743164,1,0.01,5,2,2,2,"{'final_estimator__gamma': 1, 'final_estimator__learning_rate': 0.01, 'final_estimator__max_depth': 5, 'gb__max_depth': 2, 'gb__max_features': 2, 'rf__max_features': 2}",0.8167216017821499,0.8156150085684001,0.816168305175275,0.0005532966068749201,134,0.9326036900402856,0.9042216929580574,0.9184126914991715,0.014190998541114108
62,1167.0084003210068,1.2784990072250366,1.9916709661483765,0.13228046894073486,1,0.1,8,2,5,2,"{'final_estimator__gamma': 1, 'final_estimator__learning_rate': 0.1, 'final_estimator__max_depth': 8, 'gb__max_depth': 2, 'gb__max_features': 5, 'rf__max_features': 2}",0.8170401816811219,0.8152905436596484,0.8161653626703851,0.0008748190107367715,135,0.9144388863998678,0.8983138272693724,0.9063763568346201,0.008062529565247722
136,1117.355013847351,0.8578910827636719,1.3828186988830566,0.02343130111694336,5,0.1,8,2,8,2,"{'final_estimator__gamma': 5, 'final_estimator__learning_rate': 0.1, 'final_estimator__max_depth': 8, 'gb__max_depth': 2, 'gb__max_features': 8, 'rf__max_features': 2}",0.8190827715869639,0.8131858298011293,0.8161343006940466,0.0029484708929172765,136,0.903232654299402,0.898366738174852,0.900799696237127,0.0024329580622750036
26,1076.1445662975311,1.8557243347167969,0.7290008068084717,0.007000446319580078,1,0.01,8,2,5,2,"{'final_estimator__gamma': 1, 'final_estimator__learning_rate': 0.01, 'final_estimator__max_depth': 8, 'gb__max_depth': 2, 'gb__max_features': 5, 'rf__max_features': 2}",0.8168576917779026,0.8150155166737881,0.8159366042258454,0.0009210875520572204,137,0.9298865768758932,0.8756229609282976,0.9027547689020954,0.027131807973797772
124,1162.4257868528366,42.05970633029938,1.1924999952316284,0.33311450481414795,5,0.1,5,2,8,2,"{'final_estimator__gamma': 5, 'final_estimator__learning_rate': 0.1, 'final_estimator__max_depth': 5, 'gb__max_depth': 2, 'gb__max_features': 8, 'rf__max_features': 2}",0.8172167195441212,0.8145706456165218,0.8158936825803216,0.0013230369637997064,138,0.8940675761220078,0.8887971351204618,0.8914323556212348,0.002635220500773028
30,1370.9761612415314,6.2441086769104,0.9136053323745728,0.02521669864654541,1,0.01,8,5,2,2,"{'final_estimator__gamma': 1, 'final_estimator__learning_rate': 0.01, 'final_estimator__max_depth': 8, 'gb__max_depth': 5, 'gb__max_features': 2, 'rf__max_features': 2}",0.8145673756154067,0.8167545427971535,0.8156609592062801,0.0010935835908734148,139,0.9293978530966089,0.9203272931574027,0.9248625731270058,0.004535279969603123
70,1048.5693359375,24.684508085250854,1.5207412242889404,0.6613678932189941,1,0.1,8,5,8,2,"{'final_estimator__gamma': 1, 'final_estimator__learning_rate': 0.1, 'final_estimator__max_depth': 8, 'gb__max_depth': 5, 'gb__max_features': 8, 'rf__max_features': 2}",0.8162345969697029,0.8149297152603219,0.8155821561150124,0.0006524408546905169,140,0.921622708209792,0.9172293517302957,0.9194260299700439,0.0021966782397481177
16,1254.3661571741104,0.4347637891769409,1.449384093284607,0.02546370029449463,1,0.01,5,2,8,2,"{'final_estimator__gamma': 1, 'final_estimator__learning_rate': 0.01, 'final_estimator__max_depth': 5, 'gb__max_depth': 2, 'gb__max_features': 8, 'rf__max_features': 2}",0.8176823096950903,0.8132478579593573,0.8154650838272237,0.0022172258678664902,141,0.9109220820353,0.9000301215461021,0.905476101790701,0.005445980244598969
138,1064.143981218338,25.114546537399292,1.1580413579940796,0.12320911884307861,5,0.1,8,5,2,2,"{'final_estimator__gamma': 5, 'final_estimator__learning_rate': 0.1, 'final_estimator__max_depth': 8, 'gb__max_depth': 5, 'gb__max_features': 2, 'rf__max_features': 2}",0.8168645843343026,0.8132840273641169,0.8150743058492098,0.0017902784850928888,142,0.9379859037619448,0.926241969232945,0.9321139364974449,0.0058719672644999
66,1168.321273803711,92.99327111244202,1.4140632152557373,0.16406583786010742,1,0.1,8,5,2,2,"{'final_estimator__gamma': 1, 'final_estimator__learning_rate': 0.1, 'final_estimator__max_depth': 8, 'gb__max_depth': 5, 'gb__max_features': 2, 'rf__max_features': 2}",0.816841581565771,0.8131800870963414,0.8150108343310563,0.0018307472347148246,143,0.9267922455109218,0.9151777517459765,0.9209849986284491,0.005807246882472639
28,1060.4266690015793,0.48704540729522705,1.4552067518234253,0.030231833457946777,1,0.01,8,2,8,2,"{'final_estimator__gamma': 1, 'final_estimator__learning_rate': 0.01, 'final_estimator__max_depth': 8, 'gb__max_depth': 2, 'gb__max_features': 8, 'rf__max_features': 2}",0.8144002115707109,0.8149391794834002,0.8146696955270556,0.0002694839563446849,144,0.9163004587660345,0.8988197777549456,0.90756011826049,0.008740340505544453
